team,squad_avg_rating,top_player_rating,attack_rating,defense_rating,gk_rating
Nigeria,75.5,83.5,76.5,74.5,75.5
Rwanda,61.5,69.5,62.5,60.5,61.5
São Tomé and Príncipe,68.0,76.0,69.0,67.0,68.0
Senegal,80.0,88.0,81.0,79.0,80.0
Seychelles,68.0,76.0,69.0,67.0,68.0
Sierra Leone,68.0,76.0,69.0,67.0,68.0
Somalia,68.0,76.0,69.0,67.0,68.0
South Africa,73.8,81.8,74.8,72.8,73.8
South Sudan,68.0,76.0,69.0,67.0,68.0
Sudan,68.0,76.0,69.0,67.0,68.0
Tanzania,60.6,68.6,61.6,59.6,60.6
Togo,68.0,76.0,69.0,67.0,68.0
Tunisia,71.8,79.8,72.8,70.8,71.8
Uganda,60.4,68.4,61.4,59.4,60.4
Zambia,60.9,68.9,61.9,59.9,60.9
Zimbabwe,63.2,71.2,64.2,62.2,63.2
Afghanistan,59.0,67.0,60.0,58.0,59.0
Australia,77.7,85.7,78.7,76.7,77.7
Bahrain,68.0,76.0,69.0,67.0,68.0
Bangladesh,68.0,76.0,69.0,67.0,68.0
Bhutan,68.0,76.0,69.0,67.0,68.0
Brunei,68.0,76.0,69.0,67.0,68.0
Cambodia,68.0,76.0,69.0,67.0,68.0
China,57.6,65.6,58.6,56.6,57.6
Chinese Taipei,68.0,76.0,69.0,67.0,68.0
Guam,68.0,76.0,69.0,67.0,68.0
Hong Kong,68.0,76.0,69.0,67.0,68.0
India,58.7,66.7,59.7,57.7,58.7
Indonesia,57.8,65.8,58.8,56.8,57.8
IR Iran,76.6,84.6,77.6,75.6,76.6
Iraq,68.2,76.2,69.2,67.2,68.2
Japan,81.1,89.1,82.1,80.1,81.1
Jordan,65.4,73.4,66.4,64.4,65.4
Korea DPR,68.0,76.0,69.0,67.0,68.0
Korea Republic,78.0,86.0,79.0,77.0,78.0
Kuwait,68.0,76.0,69.0,67.0,68.0
Kyrgyzstan,68.0,76.0,69.0,67.0,68.0
Laos,68.0,76.0,69.0,67.0,68.0
Lebanon,68.0,76.0,69.0,67.0,68.0
Macau,68.0,76.0,69.0,67.0,68.0
Malaysia,68.0,76.0,69.0,67.0,68.0
Maldives,68.0,76.0,69.0,67.0,68.0
Mongolia,68.0,76.0,69.0,67.0,68.0
Myanmar,68.0,76.0,69.0,67.0,68.0
Nepal,68.0,76.0,69.0,67.0,68.0
Oman,63.7,71.7,64.7,62.7,63.7
Pakistan,68.0,76.0,69.0,67.0,68.0
Palestine,68.0,76.0,69.0,67.0,68.0
Philippines,57.3,65.3,58.3,56.3,57.3
Qatar,64.0,72.0,65.0,63.0,64.0
Saudi Arabia,67.6,75.6,68.6,66.6,67.6
Singapore,68.0,76.0,69.0,67.0,68.0
Sri Lanka,68.0,76.0,69.0,67.0,68.0
Syria,68.0,76.0,69.0,67.0,68.0
Tajikistan,68.0,76.0,69.0,67.0,68.0
Thailand,58.4,66.4,59.4,57.4,58.4
Timor-Leste,68.0,76.0,69.0,67.0,68.0
Turkmenistan,68.0,76.0,69.0,67.0,68.0
UAE,68.0,76.0,69.0,67.0,68.0
Uzbekistan,66.8,74.8,67.8,65.8,66.8
Vietnam,58.1,66.1,59.1,57.1,58.1
Yemen,68.0,76.0,69.0,67.0,68.0
American Samoa,68.0,76.0,69.0,67.0,68.0
Cook Islands,68.0,76.0,69.0,67.0,68.0
Fiji,68.0,76.0,69.0,67.0,68.0
New Caledonia,68.0,76.0,69.0,67.0,68.0
New Zealand,65.1,73.1,66.1,64.1,65.1
Papua New Guinea,68.0,76.0,69.0,67.0,68.0
Samoa,68.0,76.0,69.0,67.0,68.0
Solomon Islands,68.0,76.0,69.0,67.0,68.0
Tahiti,68.0,76.0,69.0,67.0,68.0
Tonga,68.0,76.0,69.0,67.0,68.0
Vanuatu,68.0,76.0,69.0,67.0,68.0
